RAW ,EMA-12,EMA-26,TBR-24,VOL-29,MOM-25,Task-2a,Task-2b,Task-2c,Task-2d
347.61,348.2767162,347.9024049,-0.070809944,0.017284159,-23.73,1,1,2,2
347.61,347.7125717,347.6324927,-0.066668457,0.018749878,-26.49,1,1,2,2
341.54,342.4896264,342.0086533,-0.082966384,0.020522154,-26.49,1,1,1,2
344.85,344.4868656,344.6314349,-0.074079046,0.023550331,-24.28,2,1,1,2
347.61,347.1295178,347.3808796,-0.066668457,0.024731801,-19.31,2,1,1,2
346.51,346.6053104,346.5769907,-0.069621953,0.025425858,-23.17,1,1,1,2
343.2,343.7238939,343.4597685,-0.07850929,0.025711029,-25.38,1,1,1,2
347.06,346.5467529,346.7830591,-0.068145205,0.026926496,-21.52,2,1,1,2
345.96,346.0502697,346.0233122,-0.0710987,0.027245192,-22.07,1,1,1,2
345.41,345.508503,345.4571779,-0.072575448,0.027733321,-22.62,1,1,1,2
350.37,349.6220774,349.9920906,-0.057866573,0.027813665,-22.07,2,1,1,2
355.61,354.6887811,355.1778531,-0.042360101,0.02737206,-16.28,2,1,1,2
358.1,357.5751971,357.8752195,-0.021103275,0.026622807,-13.24,2,1,1,2
359.75,359.4154149,359.6057861,-0.01659286,0.025884361,-6.07,2,2,1,2
363.06,362.4992946,362.7942912,-0.007544694,0.025138785,-0.55,2,2,1,2
363.61,363.4391222,363.5472532,0.001514901,0.023811646,-2.21,2,2,1,2
366.37,365.9190957,366.1528656,0.00759055,0.022533527,5.52,2,2,1,1
372.99,371.9021686,372.4640666,0.018069165,0.021631362,13.79,2,2,1,1
366.92,367.6864875,367.3464667,-0.016273895,0.022959137,8.82,1,2,1,1
365.82,366.1071519,365.9374205,-0.019223035,0.023370132,9.93,1,2,1,1
366.92,366.7949464,366.844417,-0.016273895,0.023367638,9.38,2,2,1,1
366.37,366.4353764,366.4064936,-0.017748465,0.023988424,4.96,1,2,1,1
366.92,366.8454425,366.8804995,-0.016273895,0.024587457,9.93,2,2,1,1
366.92,366.9085296,366.9169615,-0.016273895,0.025249127,16,2,2,1,1
364.72,365.0566969,364.888997,-0.022172176,0.025881241,17.11,1,1,1,1
366.92,366.633338,366.763769,-0.016273895,0.026228142,19.31,2,2,1,1
369.13,368.7458982,368.9479822,-0.010348803,0.0266522,27.59,2,2,1,1
365.27,365.8047536,365.5529217,-0.020697606,0.02740705,20.42,1,1,1,1
363.61,363.9476544,363.7594555,-0.025148127,0.027481452,16,1,1,1,1
365.27,365.0665622,365.1538043,-0.020697606,0.027061353,18.76,2,1,1,1
361.41,361.972548,361.6979849,-0.031046409,0.026649896,18.21,1,1,1,1
365.27,364.7626997,364.9952296,-0.020697606,0.024952008,18.21,2,1,1,1
365.82,365.6573384,365.7565561,-0.019223035,0.023788705,19.86,2,2,1,1
360.85,361.5895905,361.2274274,-0.032547789,0.022932383,15.44,1,1,1,1
358.1,358.6368601,358.3405713,-0.039920641,0.021588058,7.73,1,1,1,1
358.65,358.6479785,358.6261978,-0.038446071,0.01936486,3.04,1,1,2,1
357.54,357.7104582,357.6235537,-0.041422022,0.017764142,-0.56,1,1,2,2
357.54,357.5662243,357.5464272,-0.041422022,0.015710182,-2.21,1,1,2,2
357.54,357.5440345,357.5404944,-0.041422022,0.013058364,-5.52,1,1,2,2
358.1,358.0144668,358.0569611,-0.039920641,0.011570001,-5.51,2,1,2,2
359.2,359.0176103,359.1120739,-0.036971501,0.011171959,-7.17,2,1,2,2
356.99,357.30194,357.1532365,-0.032888142,0.011041261,-16,1,1,2,2
354.79,355.1764523,354.9717874,-0.038848102,0.01139104,-12.13,1,1,2,2
344.85,346.438685,345.628599,-0.065776285,0.012250444,-20.97,1,1,2,2
345.96,346.0336438,345.9345076,-0.062769214,0.015455827,-20.96,1,1,2,2
340.44,341.3005606,340.8626544,-0.077723295,0.017525801,-25.93,1,1,2,2
341.54,341.5031632,341.4878965,-0.074743315,0.019743526,-25.38,1,1,2,2
339.34,339.6727943,339.5052228,-0.080703275,0.021808497,-27.58,1,1,1,2
339.89,339.8565837,339.8604018,-0.079213285,0.024009706,-24.83,2,1,1,2
339.89,339.884859,339.8877232,-0.079213285,0.025565285,-27.03,2,1,1,2
344.85,344.0861322,344.4682864,-0.057323274,0.026815626,-24.28,2,1,1,2
349.82,348.9378665,349.4083297,-0.043737357,0.026997535,-15.45,2,1,1,2
353.68,352.950441,353.35141,-0.03318572,0.02656502,-9.93,2,1,1,2
353.68,353.5677602,353.6547238,-0.03318572,0.02612809,-11.59,2,1,1,2
354.23,354.1281169,354.185748,-0.031682248,0.025363926,-7.18,2,1,1,2
351.75,352.1158641,351.9373652,-0.038461538,0.024149228,-13.52,1,1,1,2
351.47,351.5693637,351.5059512,-0.02599418,0.02342277,-14.35,1,1,1,2
356.99,356.156056,356.5681501,-0.006152561,0.022812425,-3.86,2,2,1,2
368.03,366.2032394,367.1483192,0.024582405,0.021947158,9.93,2,2,1,1
368.03,367.7489599,367.9621784,0,0.022922579,9.38,2,2,1,1
368.03,367.9867631,368.024783,0,0.023375962,10.49,2,2,1,1
375.75,374.5556559,375.1557525,0.020976551,0.02371951,18.21,2,2,1,1
372.44,372.7654855,372.648904,-0.008809049,0.026198307,14.9,1,2,1,1
371.34,371.5593055,371.4406849,-0.011736527,0.027851354,13.24,1,2,1,1
372.44,372.3045085,372.3631296,-0.008809049,0.029130702,13.24,2,2,1,1
368.58,369.1530013,368.87101,-0.019081836,0.030503129,11.59,1,2,1,1
365.82,366.3327694,366.0546931,-0.026427146,0.031240179,11.03,1,1,1,1
366.37,366.3642722,366.3457456,-0.024963407,0.031645494,21.52,1,1,1,1
366.37,366.3691188,366.3681343,-0.024963407,0.032064324,20.41,1,1,1,1
370.23,369.6360183,369.9329334,-0.014690619,0.032426896,29.79,2,2,1,1
374.65,373.8786182,374.2871487,-0.002927478,0.033141988,33.11,2,2,1,1
377.96,377.3320951,377.677473,0.00588157,0.034272314,38.62,2,2,1,1
382.37,381.5949377,382.0090364,0.011667901,0.034964341,42.48,2,2,1,1
385.13,384.5861443,384.8899259,0.007218139,0.036127132,45.24,2,2,1,1
390.1,389.2517145,389.6992251,0.012904733,0.03654982,45.25,2,2,1,1
388.99,389.0302638,389.0445558,-0.002845424,0.037496871,39.17,2,2,1,1
385.13,385.7300406,385.4311197,-0.012740323,0.03724084,31.45,1,2,1,1
382.37,382.8869293,382.6054707,-0.019815432,0.035907302,28.69,1,2,1,1
377.41,378.2526045,377.8096516,-0.03253012,0.033673332,23.18,1,1,1,1
379.61,379.4011699,379.4715117,-0.026890541,0.031500703,27.86,2,1,1,1
382.37,381.9132569,382.1470394,-0.019815432,0.030039882,30.9,2,2,1,1
385.68,385.1005011,385.4082338,-0.011330428,0.029158901,28.69,2,2,1,1
380.72,381.3939232,381.0806334,-0.024045117,0.028344778,12.69,1,1,1,1
376.3,377.0836805,376.667741,-0.035375545,0.026852861,8.27,1,1,1,1
378.51,378.2905662,378.3682878,-0.029710331,0.0242931,10.48,2,1,1,1
380.72,380.346241,380.5390991,-0.024045117,0.021167126,4.97,2,1,1,1
380.72,380.6624986,380.7060845,-0.024045117,0.01897491,8.28,2,1,2,1
381.82,381.6419229,381.7343142,-0.021225327,0.018554668,10.48,2,1,2,1
387.89,386.9287574,387.4164857,-0.005665214,0.018096051,15.45,2,2,2,1
388.99,388.6728857,388.8689604,-0.002845424,0.018110573,20.41,2,2,2,1
387.89,388.010444,387.9653046,-0.005665214,0.018804315,22.07,1,2,2,1
388.44,388.3739145,388.403485,-0.004255319,0.019036565,22.07,2,2,2,1
392.86,392.169833,392.5171912,0.007075109,0.019093595,26.49,2,2,2,1
392.31,392.2884358,392.3259378,-0.00139999,0.019711274,22.08,2,2,2,1
391.75,391.8328363,391.7943029,-0.002825434,0.019527928,17.1,1,2,2,1
384.58,385.695821,385.1349464,-0.02107621,0.018485668,6.62,1,1,2,1
379.61,380.5462801,380.0349959,-0.033727027,0.016663585,-2.76,1,1,2,2
382.37,382.0894277,382.1903843,-0.026701624,0.014540666,-2.76,2,1,2,2
377.41,378.129912,377.7777219,-0.039326987,0.012963856,-12.69,1,1,2,2
372.99,373.7807557,373.3582863,-0.050577814,0.012553586,-16,1,1,2,2
377.96,377.3170393,377.606022,-0.037926997,0.01333337,-7.17,2,1,2,2
380.72,380.1964676,380.4804632,-0.030901593,0.013614128,-1.65,2,1,2,2
384.58,383.9056104,384.264651,-0.02107621,0.01366115,7.17,2,1,2,1
393.96,392.4131708,393.2142039,0.00279998,0.01325799,14.35,2,2,2,1
397.27,396.5227955,396.9580157,0.008401868,0.013969163,14.9,2,2,2,1
394.51,394.8196608,394.6983089,-0.006947416,0.015467852,8.83,1,2,2,1
385.13,386.6207171,385.8660238,-0.030558562,0.016272968,4.41,1,1,2,1
386.79,386.7639565,386.7189249,-0.026380044,0.015893924,10.49,1,1,2,1
382.93,383.5198395,383.2214558,-0.036096358,0.015726153,4.42,1,1,2,1
383.48,383.4861291,383.460112,-0.034711909,0.015705885,2.76,1,1,2,1
387.89,387.2124814,387.5492394,-0.023611146,0.015710096,7.17,2,1,2,1
386.24,386.3896125,386.3407107,-0.027764493,0.015638347,4.42,1,1,2,1
384.03,384.3930173,384.207747,-0.03332746,0.015015628,-3.86,1,1,2,2
382.37,382.6812334,382.5113652,-0.037505978,0.014634725,-6.62,1,1,2,2
384.03,383.8224975,383.9131819,-0.03332746,0.014520245,-3.86,2,1,2,2
388.44,387.729615,388.0917832,-0.022226697,0.014328009,0,2,1,2,0
380.17,381.3330177,380.7793679,-0.043043774,0.014248846,-12.69,1,1,2,2
370.23,371.9381566,371.0414898,-0.06806454,0.014505346,-22.08,1,1,2,2
360.85,362.5558702,361.6339608,-0.091675687,0.016240246,-30.9,1,1,2,2
365.82,365.3178262,365.497997,-0.079165303,0.019963336,-18.76,2,1,2,2
367.48,367.1473579,367.3275382,-0.074986785,0.021728246,-12.13,2,1,1,2
369.68,369.2903628,369.4990414,-0.069448989,0.022513703,-12.69,2,1,1,2
364.72,365.4231327,365.0876186,-0.081934201,0.022804207,-12.69,1,1,1,2
360.85,361.5535589,361.1759707,-0.091675687,0.023680811,-12.14,1,1,1,2
366.37,365.6290091,365.9704593,-0.077780854,0.025501413,-11.59,2,1,1,2
370.23,369.5221552,369.902343,-0.06806454,0.026349185,-10.49,2,1,1,2
365.82,366.3895623,366.1340264,-0.079165303,0.026701839,-18.76,1,1,1,2
362.51,363.1068557,362.7887713,-0.087497168,0.027487068,-31.45,1,1,1,2
354.79,356.0695163,355.4052901,-0.100681859,0.028515891,-42.48,1,1,1,2
344.85,346.5760794,345.6619454,-0.112218103,0.030817538,-49.66,1,1,1,2
343.75,344.1847815,343.8970727,-0.115049943,0.034750378,-41.38,1,1,1,2
342.65,342.8861202,342.7459287,-0.117881784,0.038050184,-44.14,1,1,1,2
344.3,344.08248,344.1804561,-0.113634023,0.040005999,-38.63,2,1,1,2
344.3,344.2665354,344.2908043,-0.113634023,0.040514643,-39.18,2,1,1,2
348.72,348.0348516,348.3792926,-0.102255175,0.040832777,-39.17,2,1,1,2
343.2,343.9438233,343.5984071,-0.116465863,0.041317415,-43.04,1,1,1,2
342.65,342.8490497,342.7229544,-0.117881784,0.042014861,-41.38,1,1,1,2
346.51,345.9467769,346.2186888,-0.107944599,0.042820778,-35.86,2,1,1,2
